,POT,TRT,REP,SPP,LIT,INS,ROOT01,TOTBIOM01,FLOWTIME,ABOVETOT02,Asctu,Bucda,Andge,Elyca,Astaz,Sornu,Koecr,Liaas,Panvi,Eupco,Corpa,Achmi,Solne,Anecy,Bougr,Schsc,Rudhi,Spocr,fdis,fgr,mpd,pdtot
90,90,10,4,16,1,0,2.64,77.03,2.533333333,38.37,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.2316737323,9,251.360400175,900.541788
91,91,19,5,8,0,0,1.3,110.094,9.033333333,31.262,2,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,2,0,0.1758658484,5,272.2869863571,684.723783
92,92,7,2,2,1,0,4.8,48.315,3.233333333,38.62,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0.0950363526,2,238.331004,307.44874
94,94,2,2,2,1,1,0.9,45.079,2.116666667,34.03,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0.1507436789,2,376.566486,376.566486
95,95,15,2,16,0,1,1.07,55.883,2.6,27.248,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.22245252,9,250.6703215667,881.46958
96,96,14,2,8,0,1,1.25,83.762,2.083333333,36.149,2,0,2,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,0.2071159584,6,215.22892575,552.930248
97,97,3,1,4,1,1,1.77,75.61,1.316666667,31.76,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0.1743132536,3,258.1742736667,397.956334
98,98,10,5,16,1,0,3.05,65.957,2.216666667,32.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.2253470254,10,253.2089924,897.131239
99,99,7,1,2,1,0,0.9,44.998,3.066666667,29.478,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0.0980033353,2,56.545034,216.55576
100,100,1,3,1,1,1,0.83,53.03,4.316666667,25.94,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283245
101,101,14,3,8,0,1,1.79,56.892,2.633333333,33.88,2,2,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0.2326062263,7,267.1215108571,679.125509
102,102,13,5,4,0,1,0.97,30.316,1.6,36.24,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0.2410454942,4,265.0621503333,504.031719
103,103,2,4,2,1,1,6.42,56.38,2.8,23.64,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1196453774,2,376.566486,376.566486
105,105,20,1,16,0,0,1.48,62.806,2.233333333,34.987,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.23981815,10,246.1684345917,833.834853
106,106,5,5,16,1,1,5.75,78.196,2.9,37.488,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.2344940303,10,250.5793107917,876.008927
107,107,6,1,1,1,0,1.43,60.46,1.883333333,22.217,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
108,108,16,2,1,0,0,2.35,95.24,4.583333333,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,NA,188.283242
